"short_name";"long_name";"R_color"
"su";"Unconsolidated sediments";"lightgoldenrod1"
"ss";"Siliciclastic sedimentary rocks";"goldenrod"
"sm";"Mixed sedimentary rocks";"burlywood4"
"py";"Pyroclastics";"tan4"
"sc";"Carbonate sedimentary rocks";"steelblue3"
"ev";"Evaporites";"olivedrab1"
"mt";"Metamorphics";"palegreen3"
"pa";"Acid plutonic rocks";"brown3"
"pi";"Intermediate plutonic rocks";"violetred4"
"pb";"Basic plutonic rocks";"purple4"
"va";"Acid volcanic rocks";"pink"
"vi";"Intermediate volcanic rocks";"orchid2"
"vb";"Basic volcanic rocks";"magenta3"
"ig";"Ice and glaciers";"paleturquoise1"
"wb";"Water bodies";"turquoise2"
"nd";"No Data";"slategray"
